rho,rho_u,rho_v,rho_E
1.176600,285.977448,0.000000,288063.062500
1.176600,285.977448,0.000000,288063.062500
1.520905,236.760406,-0.005744,380795.062500
1.320428,269.803192,0.084056,323218.281250
1.477481,246.303360,-0.013697,368175.125000
1.357363,264.812866,0.049763,332444.500000
1.459581,249.409912,0.003586,363342.968750
1.373935,262.790222,0.002814,336514.406250
1.449084,250.727097,0.039829,360676.437500
1.383824,261.916443,-0.062725,338870.062500
1.441867,251.203018,0.097992,358949.937500
1.390629,261.677429,-0.172397,340433.781250
1.436402,251.146790,0.169803,357716.718750
1.395777,261.867706,-0.374271,341576.812500
1.432009,250.650040,0.189108,356775.093750
1.400010,262.384735,-0.786020,342495.281250
1.428425,249.649673,-0.177135,356032.093750
1.403833,263.169403,-1.755564,343324.812500
1.425703,247.863419,-2.492032,355463.093750
1.407095,264.464722,-4.436114,344073.937500
1.423826,244.948380,-14.099213,355028.000000
1.401906,269.600800,-13.109370,343193.343750
1.418320,229.552460,105.440002,354319.093750
1.246888,286.555420,130.759033,310934.843750
1.315797,290.633148,84.653450,330573.562500
1.091054,337.046143,62.625961,279532.843750
1.133495,337.099823,18.350580,288490.937500
0.985368,348.373047,-23.377281,257085.187500
0.892500,330.089722,-66.539070,234068.359375
0.747665,310.004761,-94.999016,202031.234375
0.575441,266.733887,-91.117065,160124.281250
0.745759,284.121613,-135.186462,197394.828125
1.070730,284.603027,-4.788434,270011.500000
1.120909,277.137970,35.073502,281045.812500
1.133951,267.491852,12.770775,283754.781250
1.122421,266.178284,20.630892,280413.125000
1.136368,260.103485,13.816894,283626.531250
1.124500,259.080231,14.684209,280328.531250
1.133458,255.108627,11.918255,282422.750000
1.125443,254.010666,11.410739,280144.156250
1.130789,251.278809,9.888024,281392.562500
1.125739,250.239761,9.199680,279901.718750
1.128832,248.323730,8.166656,280624.000000
1.125742,247.412354,7.537736,279655.906250
1.127478,246.071991,6.764131,280072.625000
1.125653,245.311035,6.229753,279438.062500
1.126581,244.386536,5.624445,279689.218750
1.125582,243.776871,5.179420,279263.187500
1.126023,243.151520,4.694078,279434.000000
1.125592,242.684814,4.325520,279136.750000
1.125728,242.262329,3.931254,279280.406250
1.125754,241.926651,3.619422,279067.531250
1.125780,241.590973,3.307590,279236.468750
1.125806,241.255295,2.995757,279163.000000
1.176600,285.977448,0.000000,288063.062500
1.176600,285.977448,0.000000,288063.062500
1.522073,238.927734,-0.145281,381070.906250
1.319957,269.176605,0.184832,323077.781250
1.479523,249.290070,-0.220969,368671.000000
1.356431,263.347168,0.262784,332155.593750
1.462310,253.408447,-0.301038,364015.562500
1.372530,260.340942,0.347724,336055.656250
1.452520,255.863098,-0.408929,361543.562500
1.381924,258.313873,0.466539,338211.593750
1.446063,257.628265,-0.562786,360040.937500
1.388244,256.712189,0.632891,339545.156250
1.441429,259.049805,-0.802847,359070.687500
1.393018,255.243362,0.864106,340438.500000
1.437980,260.254517,-1.244611,358448.093750
1.397379,253.549973,1.177630,341149.937500
1.435613,261.190338,-2.288907,358131.375000
1.403508,250.605728,1.533176,342119.937500
1.435142,261.385315,-5.506152,358288.843750
1.418567,242.403442,1.393074,344723.031250
1.440222,259.013062,-17.601431,359808.468750
1.460910,212.564301,-2.455288,351371.656250
1.460086,234.921005,110.112740,365769.281250
1.197216,280.236694,100.326233,296505.437500
1.299544,325.739258,85.529884,329380.687500
0.979289,317.382111,33.827221,251104.296875
1.054417,357.461792,11.402728,271574.312500
0.825134,305.149750,-42.171169,216492.812500
0.745894,316.700256,-65.893311,198887.609375
