rho,rho_u,rho_v,rho_E
1.176600,122.561775,0.000000,259692.437500
1.176600,122.561775,0.000000,259692.437500
1.177371,122.384216,-0.007491,259902.296875
1.176693,122.532661,-0.014717,259716.859375
1.177290,122.395439,-0.020249,259879.203125
1.176762,122.501816,-0.023993,259733.890625
1.177201,122.407005,-0.025528,259854.015625
1.176787,122.487671,-0.027570,259739.890625
1.177092,122.430527,-0.034200,259824.375000
1.176768,122.486557,-0.039658,259734.406250
1.176968,122.455116,-0.048086,259790.156250
1.176713,122.488777,-0.055516,259718.328125
1.176835,122.472763,-0.064575,259752.531250
1.176626,122.486359,-0.073342,259692.250000
1.176690,122.478065,-0.078288,259710.390625
1.176510,122.478447,-0.082022,259657.125000
1.176535,122.479408,-0.079382,259664.484375
1.176373,122.475349,-0.077854,259616.359375
1.176377,122.486786,-0.071011,259618.609375
1.176234,122.481445,-0.067040,259575.687500
1.176232,122.501091,-0.059732,259577.203125
1.176103,122.494095,-0.056993,259538.468750
1.176103,122.517960,-0.053270,259540.859375
1.175982,122.505043,-0.053393,259503.578125
1.175982,122.528877,-0.052159,259506.187500
1.175860,122.508385,-0.052008,259467.953125
1.175865,122.532272,-0.049679,259471.734375
1.175741,122.505653,-0.046660,259432.281250
1.175758,122.531807,-0.041452,259440.156250
1.175635,122.502182,-0.035091,259400.796875
1.175674,122.534164,-0.028126,259415.546875
1.175553,122.503990,-0.021779,259376.593750
1.175611,122.543259,-0.016927,259398.046875
1.175485,122.510880,-0.013986,259357.343750
1.175558,122.555565,-0.012780,259383.625000
1.175423,122.516068,-0.013106,259339.437500
1.175511,122.562584,-0.013536,259370.265625
1.175369,122.511871,-0.013602,259322.765625
1.175478,122.559547,-0.011334,259359.968750
1.175332,122.498199,-0.007289,259310.437500
1.175467,122.551270,-0.000137,259356.140625
1.175318,122.483559,0.007960,259304.937500
1.175483,122.547447,0.018078,259360.296875
1.175327,122.475548,0.026454,259306.812500
1.175525,122.550774,0.035410,259373.140625
1.175365,122.470421,0.040279,259317.484375
1.175605,122.551659,0.045643,259396.718750
1.175444,122.455116,0.046198,259339.031250
1.175731,122.537086,0.049705,259432.515625
1.175564,122.420654,0.048776,259371.078125
1.175896,122.504890,0.054229,259478.015625
1.175709,122.372116,0.054463,259408.843750
1.176076,122.465042,0.063945,259527.562500
1.175860,122.321190,0.064522,259448.359375
1.176268,122.425491,0.076386,259580.156250
1.176026,122.269547,0.072407,259491.921875
1.176491,122.379051,0.082853,259641.500000
1.176235,122.203079,0.068694,259546.750000
1.176775,122.305611,0.076090,259717.921875
1.176508,122.101692,0.048112,259616.781250
1.177126,122.185333,0.055168,259809.531250
1.176840,121.951332,0.011482,259699.046875
1.177532,122.006378,0.023138,259911.656250
1.177220,121.745941,-0.040803,259789.906250
1.177989,121.758598,-0.020757,260022.546875
1.177662,121.474648,-0.117004,259891.375000
1.178519,121.419212,-0.086733,260146.093750
1.178199,121.110085,-0.236766,260010.546875
1.179153,120.943192,-0.194258,260288.593750
1.178877,120.599190,-0.429534,260154.953125
1.179930,120.257553,-0.369126,260454.828125
1.179760,119.855263,-0.734634,260333.203125
1.180909,119.255486,-0.650228,260654.250000
1.180966,118.739998,-1.217306,260564.015625
1.182196,117.780815,-1.128009,260908.937500
1.182702,117.024467,-2.018747,260882.468750
1.183965,115.596252,-2.071249,261257.859375
1.185260,114.349602,-3.480093,261334.453125
1.186395,112.345222,-4.390906,261744.312500
1.188797,110.396622,-6.430559,261929.796875
1.189201,107.796265,-11.400333,262325.187500
1.191835,106.434769,-12.704368,262358.656250
1.188578,101.272659,43.781357,262297.031250
1.176111,108.818375,52.507057,259233.468750
1.179012,112.354248,46.670479,260502.562500
1.165562,121.355713,50.413803,257323.609375
1.167880,124.194092,47.739269,258385.312500
1.155941,131.836273,48.901588,255611.187500
1.157070,134.994553,46.762577,256336.968750
1.146698,141.388062,46.302643,253961.593750
1.146918,144.739609,43.921974,254422.796875
1.137949,150.114029,42.243050,252394.390625
1.137641,153.407684,39.367054,252683.640625
1.130001,157.853012,36.694969,250969.781250
1.129517,160.856262,33.255199,251169.437500
1.123173,164.377274,29.770494,249746.343750
1.122801,166.894318,25.798122,249921.000000
1.117765,169.453812,21.679167,248776.765625
1.117822,171.314713,17.269087,248998.984375
1.114169,172.858521,12.705817,248140.296875
1.114920,173.935730,8.000287,248471.078125
1.112616,174.439331,3.197651,247880.250000
1.114159,174.669846,-1.626906,248340.656250
1.113111,174.137939,-6.452256,247989.625000
1.115550,173.492386,-11.201794,248606.937500
1.115703,171.947998,-15.837735,248482.046875
1.119068,170.445145,-20.321444,249268.984375
1.120261,167.955078,-24.574757,249333.656250
1.124474,165.662201,-28.619318,250280.468750
1.126544,162.313049,-32.325027,250499.609375
1.131512,159.323593,-35.786556,251596.671875
1.134277,155.213654,-38.813740,251929.984375
1.139810,151.659439,-41.586464,253147.453125
1.143056,146.877777,-43.844463,253542.484375
1.148950,142.908478,-45.880985,254851.687500
1.152580,137.452972,-47.301598,255273.500000
1.158681,133.210266,-48.671848,256669.906250
1.162730,126.893341,-49.146721,257092.953125
1.168881,122.428978,-50.316532,258589.765625
1.173334,114.952400,-49.531036,258946.312500
