rho,rho_u,rho_v,rho_E
1.176600,204.269608,0.000000,271040.687500
1.176600,204.269608,0.000000,271040.687500
1.178698,210.384140,0.290883,273911.468750
1.175724,204.405823,-0.225608,270627.875000
1.179401,210.314621,0.355290,274309.718750
1.175166,204.554367,-0.332629,270254.312500
1.179758,210.195023,0.422869,274641.656250
1.174959,204.736633,-0.419646,269946.187500
1.179799,210.027710,0.498636,274919.468750
1.175046,204.967911,-0.513604,269687.656250
1.179562,209.804367,0.578752,275154.156250
1.175400,205.250946,-0.628116,269470.531250
1.179076,209.514130,0.645196,275354.125000
1.176050,205.567596,-0.784984,269297.781250
1.178370,209.140717,0.621340,275526.937500
1.177138,205.845322,-1.047672,269191.531250
1.177486,208.639053,0.191612,275683.718750
1.179048,205.902115,-1.631192,269212.687500
1.176510,207.879333,-2.022729,275842.656250
1.181953,205.625839,-3.330706,269376.687500
1.175495,206.652130,-12.142532,275983.250000
1.178172,207.864136,-9.918466,268355.656250
1.170241,194.164062,90.946999,275647.656250
1.046696,223.770233,101.061394,242340.859375
1.087862,241.021317,72.380714,258696.312500
0.907210,265.095367,47.708794,215268.265625
0.937824,278.741821,18.408369,226668.156250
0.829458,274.739624,-15.712233,199879.609375
0.917360,278.438080,-40.559574,221999.500000
1.021061,251.106705,-64.947311,239479.750000
1.095993,235.982056,-94.522377,259375.812500
1.122676,211.147629,-94.450272,259393.812500
1.181127,212.527481,23.463072,276095.375000
1.128776,214.046631,27.502737,259656.937500
1.182058,206.698898,14.445120,275960.562500
1.132898,210.423889,14.887500,260086.171875
1.176955,205.341965,10.244151,274695.187500
1.137305,208.084274,9.775389,260693.640625
1.172392,204.716461,7.761353,273669.000000
1.140999,206.478470,7.154301,261183.687500
1.168793,204.258850,6.031401,272937.250000
1.144090,205.345886,5.494245,261558.015625
1.165841,203.909485,4.733925,272408.906250
1.146778,204.539230,4.306271,261849.578125
1.163291,203.652863,3.733827,272017.031250
1.149209,203.968658,3.407039,262083.765625
1.160995,203.467606,2.954453,271720.250000
1.151472,203.574356,2.709468,262274.687500
1.158859,203.330032,2.346975,271492.375000
1.153634,203.315201,2.161975,262432.500000
1.156823,203.218872,1.882039,271316.906250
1.155740,203.163879,1.727724,262563.593750
1.154658,203.108887,1.573409,271173.968750
1.153576,203.053894,1.419094,271180.843750
1.176600,204.269608,0.000000,271040.687500
1.176600,204.269608,0.000000,271040.687500
1.178842,209.304001,0.076328,273744.625000
1.175685,204.567856,-0.073235,270659.156250
1.179472,209.090637,0.089345,274093.250000
1.175071,204.914001,-0.092623,270323.937500
1.179832,208.768890,0.093388,274383.906250
1.174779,205.322617,-0.093704,270058.250000
1.179906,208.360809,0.086037,274617.843750
1.174750,205.803513,-0.080960,269847.718750
1.179731,207.862976,0.057670,274804.968750
1.174968,206.348755,-0.051243,269687.250000
1.179350,207.265305,-0.015359,274955.843750
1.175513,206.906326,-0.000478,269590.562500
1.178827,206.540924,-0.204812,275087.062500
1.176795,207.275452,0.063400,269627.968750
1.178332,205.589844,-0.778452,275247.000000
1.180543,206.687988,0.064385,270094.156250
1.178409,204.012650,-2.919653,275615.312500
1.193551,201.968842,-0.396344,272075.500000
1.181612,200.298035,-12.393353,277104.593750
1.234553,179.889694,-4.292182,277726.343750
1.195882,180.583572,82.519989,281798.968750
1.015657,232.729904,87.699089,234905.015625
1.063126,253.097351,63.200630,253695.078125
0.830998,266.083282,32.983849,198510.578125
0.843035,276.586945,5.338167,205573.593750
0.702151,259.376434,-27.114744,171324.421875
0.801685,259.500946,-50.598583,194339.062500
0.967987,232.525681,-73.983810,225725.015625
1.046400,208.470123,-101.518478,245398.968750
1.133104,155.127014,-89.565292,256656.062500
1.213722,146.198105,-5.199910,280536.468750
1.128500,187.143295,2.005471,256377.875000
1.190817,175.191422,-8.353262,275612.750000
1.131862,191.440842,-5.397487,257542.734375
1.177264,185.534836,-7.831187,272916.125000
1.135501,193.093338,-6.310852,258452.937500
1.170513,189.615494,-6.617094,271692.281250
1.138950,193.778214,-5.601059,259172.953125
1.166491,191.587936,-5.379358,271057.687500
1.142038,194.113953,-4.631207,259735.218750
1.163564,192.742523,-4.307065,270666.875000
1.144788,194.316528,-3.740109,260172.656250
1.161132,193.511932,-3.427919,270395.250000
1.147284,194.466080,-2.993638,260515.859375
1.158958,194.063309,-2.721767,270193.281250
1.149604,194.596893,-2.386308,260787.359375
1.156924,194.471909,-2.156550,270037.968750
1.151800,194.731232,-1.896195,261002.921875
1.154962,194.779968,-1.698099,269916.687500
1.153885,194.899094,-1.494643,261167.359375
