rho,rho_u,rho_v,rho_E
1.176600,142.988724,0.000000,261997.531250
1.176600,142.988724,0.000000,261997.531250
1.255720,164.366043,-2.463410,290922.312500
1.143376,138.462585,0.029645,248944.312500
1.231769,168.604614,5.372755,286467.968750
1.160218,141.643143,4.878360,255744.500000
1.241982,163.087616,3.837114,287982.062500
1.174697,135.900970,0.744840,258884.046875
1.259407,165.385300,-1.058219,292280.718750
1.177470,140.400345,1.395036,264306.312500
1.222655,166.469223,1.285761,281713.187500
1.183081,136.836060,8.026096,265916.156250
1.231857,161.357635,-0.968309,285911.937500
1.168942,141.051392,-1.055905,261362.531250
1.250369,156.178467,-11.865942,290114.468750
1.141227,141.765472,-0.110256,254177.187500
1.229946,152.859726,-7.566713,281642.968750
1.157417,135.394897,-3.071953,256071.312500
1.267789,142.953262,-5.528199,290951.906250
1.158478,138.454132,0.549870,253776.265625
1.334649,140.490112,1.705281,307194.093750
1.142318,147.215363,-12.914062,246026.000000
1.352811,118.849304,50.576061,316778.343750
1.007389,170.297714,74.027740,211966.812500
1.337781,162.281143,56.598907,311530.281250
0.929679,203.809662,46.241718,197697.453125
1.267885,205.031235,24.579933,292021.812500
0.970939,197.144745,-5.203285,211549.109375
1.237006,213.358643,-21.223211,283669.156250
0.992305,176.813492,-41.096577,214282.187500
1.200503,179.833450,-76.126488,274241.906250
1.078837,146.747742,-57.025311,234039.671875
1.175347,168.197968,19.960251,268399.250000
1.070163,149.466217,15.507391,229173.515625
1.213056,170.333069,10.076359,279639.187500
1.065567,147.200089,18.905008,224937.859375
1.224774,160.880753,7.297720,285454.812500
1.103247,147.392380,8.031808,232802.218750
1.189157,166.004639,1.240954,281848.593750
1.127685,153.567642,6.711676,233023.234375
1.140050,163.519760,2.346122,272271.000000
1.108117,159.174240,7.097968,224673.281250
1.148209,162.240051,11.594481,275319.187500
1.116614,161.175720,8.499295,226609.000000
1.134455,162.573944,11.312106,275881.062500
1.140151,161.195343,7.900343,226825.218750
1.088136,160.979095,6.597331,266236.562500
1.114323,167.187469,6.774774,222305.343750
1.101730,163.924957,5.925381,268162.687500
1.108002,168.005463,5.196774,220366.828125
1.137511,165.857681,5.086064,275731.875000
1.110574,167.847916,10.760411,224692.000000
1.086852,169.196472,15.531725,265437.812500
1.086852,169.196472,15.531725,265437.812500
1.176600,142.988724,0.000000,261997.531250
1.176600,142.988724,0.000000,261997.531250
1.227488,146.453400,-4.421581,281888.281250
1.128246,144.534439,0.973685,244926.890625
1.218029,159.709518,1.452213,283293.500000
1.153113,147.594223,3.759414,253035.187500
1.216231,145.879456,3.501383,280456.812500
1.177984,142.586060,-3.288960,259130.453125
1.235545,154.881424,1.219956,285324.843750
1.164733,151.132324,-0.868531,261087.296875
1.197092,152.616470,1.752607,274459.687500
1.195871,147.624680,2.488445,271396.062500
