,x,y
0,-0.4,-0.4
1,-0.2,-0.4
2,0.0,-0.4
3,0.2,-0.4
4,0.4,-0.4
5,0.6,-0.4
6,0.8,-0.4
7,1.0,-0.4
8,1.2,-0.4
9,1.4000000000000001,-0.4
10,1.6,-0.4
11,1.7999999999999998,-0.4
12,2.0,-0.4
13,2.2,-0.4
14,2.4,-0.4
15,2.6,-0.4
16,2.8000000000000003,-0.4
17,3.0,-0.4
18,3.2,-0.4
19,3.4000000000000004,-0.4
20,3.5999999999999996,-0.4
21,3.8,-0.4
22,4.0,-0.4
23,4.2,-0.4
24,4.4,-0.4
25,4.6000000000000005,-0.4
26,4.8,-0.4
27,5.0,-0.4
28,5.2,-0.4
29,5.4,-0.4
30,-0.4,-0.2
31,-0.2,-0.2
32,0.0,-0.2
33,0.2,-0.2
34,0.4,-0.2
35,0.6,-0.2
36,0.8,-0.2
37,1.0,-0.2
38,1.2,-0.2
39,1.4000000000000001,-0.2
40,1.6,-0.2
41,1.7999999999999998,-0.2
42,2.0,-0.2
43,2.2,-0.2
44,2.4,-0.2
45,2.6,-0.2
46,2.8000000000000003,-0.2
47,3.0,-0.2
48,3.2,-0.2
49,3.4000000000000004,-0.2
50,3.5999999999999996,-0.2
51,3.8,-0.2
52,4.0,-0.2
53,4.2,-0.2
54,4.4,-0.2
55,4.6000000000000005,-0.2
56,4.8,-0.2
57,5.0,-0.2
58,5.2,-0.2
59,5.4,-0.2
60,-0.4,0.0
61,-0.2,0.0
62,0.0,0.0
63,0.2,0.0
64,0.4,0.0
65,0.6,0.0
66,0.8,0.0
67,1.0,0.0
68,1.2,0.0
69,1.4000000000000001,0.0
70,1.6,0.0
71,1.7999999999999998,0.0
72,2.0,0.0
73,2.2,0.0
74,2.4,0.0
75,2.6,0.0
76,2.8000000000000003,0.0
77,3.0,0.0
78,3.2,0.0
79,3.4000000000000004,0.0
80,3.5999999999999996,0.0
81,3.8,0.0
82,4.0,0.0
83,4.2,0.0
84,4.4,0.0
85,4.6000000000000005,0.0
86,4.8,0.0
87,5.0,0.0
88,5.2,0.0
89,5.4,0.0
90,-0.4,0.2
91,-0.2,0.2
92,0.0,0.2
93,0.20000000000000004,0.2
94,0.4,0.2
95,0.6000000000000001,0.2
96,0.8000000000000002,0.2
97,1.0,0.2
98,1.2000000000000002,0.20000000000000004
99,1.4000000000000004,0.20000000000000004
100,1.6000000000000003,0.20000000000000004
101,1.7999999999999998,0.2
102,2.0,0.19999999999999998
103,2.2,0.2
104,2.4000000000000004,0.2
105,2.6000000000000005,0.2
106,2.8000000000000007,0.20000000000000004
107,3.000000000000001,0.20000000000000004
108,3.2000000000000006,0.20000000000000004
109,3.4000000000000004,0.2
110,3.6000000000000005,0.20000000000000004
111,3.8000000000000003,0.20000000000000004
112,4.000000000000001,0.20000000000000004
113,4.200000000000001,0.20000000000000004
114,4.400000000000001,0.20000000000000004
115,4.600000000000001,0.20000000000000004
116,4.800000000000001,0.20000000000000004
117,5.0,0.20000000000000004
118,5.2,0.20000000000000004
119,5.4,0.20000000000000004
120,-0.4,0.4
121,-0.2,0.4
122,0.0,0.4
123,0.19999999999999998,0.4
124,0.39999999999999997,0.4
125,0.6000000000000001,0.4
126,0.8,0.4
127,1.0,0.4
128,1.2000000000000002,0.39999999999999997
129,1.4000000000000001,0.3999999999999999
130,1.5999999999999996,0.3999999999999999
131,1.7999999999999998,0.4
132,2.0,0.39999999999999997
133,2.2,0.39999999999999997
134,2.4,0.39999999999999997
135,2.6,0.4
136,2.8,0.39999999999999997
137,3.0,0.4
138,3.2,0.4
139,3.4000000000000004,0.4
140,3.6000000000000005,0.4
141,3.8000000000000003,0.4
142,4.0,0.39999999999999997
143,4.200000000000001,0.4
144,4.400000000000001,0.4
145,4.600000000000001,0.39999999999999997
146,4.800000000000002,0.39999999999999997
147,5.0,0.39999999999999997
148,5.2,0.39999999999999997
149,5.4,0.39999999999999997
150,-0.4,0.6
151,-0.2,0.6
152,0.0,0.6
153,0.20000000000000004,0.6000000000000001
154,0.4,0.6000000000000001
155,0.6000000000000002,0.6000000000000001
156,0.8,0.6000000000000001
157,1.0,0.6000000000000001
158,1.2,0.6000000000000001
159,1.4000000000000001,0.6000000000000002
160,1.5999999999999999,0.6
161,1.8,0.6000000000000001
162,2.0,0.6000000000000001
163,2.2,0.6000000000000001
164,2.4,0.6000000000000001
165,2.6,0.6
166,2.8000000000000003,0.6
167,3.0000000000000004,0.6
168,3.2,0.6
169,3.400000000000001,0.6
170,3.6,0.6
171,3.8000000000000003,0.6000000000000001
172,4.0,0.6000000000000001
173,4.2,0.6
174,4.400000000000001,0.5999999999999999
175,4.6,0.5999999999999999
176,4.8,0.5999999999999999
177,5.0,0.5999999999999999
178,5.2,0.5999999999999999
179,5.4,0.5999999999999999
180,-0.4,0.8
181,-0.2,0.8
182,0.0,0.8
183,0.19999999999999998,0.7999999999999999
184,0.3999999999999999,0.7999999999999999
185,0.6,0.7999999999999999
186,0.8,0.7999999999999999
187,1.0,0.7999999999999999
188,1.2000000000000002,0.7999999999999999
189,1.4,0.8
190,1.6,0.8000000000000002
191,1.7999999999999998,0.8
192,2.0,0.8
193,2.1999999999999997,0.7999999999999999
194,2.4000000000000004,0.8
195,2.6000000000000005,0.8000000000000002
196,2.8000000000000007,0.8000000000000002
197,3.000000000000001,0.8000000000000002
198,3.2000000000000006,0.8000000000000002
199,3.4000000000000004,0.8
200,3.6000000000000005,0.8000000000000002
201,3.8000000000000003,0.8000000000000002
202,4.0,0.7999999999999999
