rho,rho_u,rho_v,rho_E
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
2.216125,-123.754845,223.773376,588714.937500
0.602871,37.024044,0.920812,387917.125000
1.417647,-88.907104,-66.442627,649948.375000
0.722193,98.437149,36.506172,360483.000000
1.381581,-66.042130,-14.889761,647871.625000
0.784791,116.515327,5.923217,397965.312500
1.360881,-27.982038,-6.005276,672426.187500
0.829445,114.373138,3.195815,424563.156250
1.342787,-2.125014,-4.622287,676814.250000
0.883562,110.072922,2.716672,462327.375000
1.316545,26.361616,-7.368919,676241.687500
0.928204,100.611404,4.114141,497416.062500
1.278112,49.507214,-11.764329,666129.812500
0.931237,107.224182,3.126780,497973.812500
1.275442,69.293526,-8.116856,665907.625000
0.961694,104.404007,3.298015,513682.031250
1.257500,101.480896,7.872736,639311.187500
0.995888,102.241257,-0.586912,531866.937500
1.276031,107.045639,4.526986,637131.437500
1.017316,110.681740,-6.378970,537652.375000
1.322842,101.699417,39.257053,652131.875000
1.000714,115.846100,60.149204,530855.062500
1.312705,169.385925,25.443430,658469.500000
0.962771,149.166824,57.835812,531484.000000
1.245703,198.457062,8.873095,662569.562500
0.840460,187.884933,0.333242,466932.875000
1.253754,200.444397,-29.065838,691576.937500
0.847444,177.220779,-45.978539,476336.437500
1.193925,168.609238,-69.811371,671947.312500
0.881140,150.813690,-75.711838,490253.500000
1.176417,166.136887,28.035049,652263.687500
0.947228,140.485703,18.716900,501752.062500
1.149333,184.496933,17.818251,633259.812500
0.984689,143.724609,17.748806,507962.375000
1.132642,200.967636,13.620176,614948.250000
0.997575,146.602005,24.195066,509896.468750
1.125121,215.839767,8.935214,605167.062500
0.977698,164.410629,9.268820,482086.500000
1.063043,221.694305,15.227923,594719.000000
1.001661,178.675049,11.729670,470947.593750
0.968476,223.360092,8.804925,570905.312500
0.992418,195.088745,12.329502,446978.437500
0.920129,231.227585,13.186713,556959.937500
0.992712,211.635880,11.496692,431551.750000
0.827799,229.584290,7.467968,527204.625000
0.944483,231.832657,12.903811,397769.187500
0.777532,239.180786,9.214267,499661.968750
0.821608,243.143158,9.878097,354731.937500
0.697547,251.863922,8.018774,453577.093750
0.562093,260.685852,6.948503,256300.265625
0.427091,269.679565,6.270149,298699.781250
0.427091,269.679565,6.270149,298699.781250
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
4.172524,-531.433899,291.796387,332874.375000
0.095094,45.207737,-8.307673,368083.000000
0.947753,-99.147240,-53.745850,723881.062500
0.789774,201.432602,27.339596,362182.093750
1.429743,-48.217270,-3.255991,671858.062500
0.794179,154.472412,-2.956095,403197.218750
1.350942,-25.599140,-2.364736,669754.562500
0.850740,137.748810,-4.983946,438196.593750
1.335088,-9.940892,1.534930,680764.250000
0.892123,126.612175,-2.678781,468505.343750
1.296932,19.582401,-1.205426,671521.875000
0.934408,112.722443,0.604177,507091.093750
1.258007,37.712482,1.107805,660374.562500
0.932404,107.262085,-4.648089,507537.687500
1.263030,61.085674,4.236517,660349.875000
0.945549,107.238777,-0.621030,510095.000000
1.262671,94.564606,6.598166,641291.375000
1.001806,105.122215,1.333200,536758.437500
1.300785,95.337212,-6.482315,642418.625000
1.011311,115.316772,10.363100,541954.187500
1.317923,116.703552,42.460930,634774.812500
1.030110,152.171967,34.363941,532073.937500
1.273482,168.206589,1.013324,628147.437500
0.872425,138.487778,13.499765,486957.500000
1.210284,172.124191,35.869511,662016.250000
0.788856,206.976852,-16.084972,443369.062500
1.226740,171.330185,-49.127747,683519.312500
0.800104,175.073029,-45.625072,454123.062500
1.168733,138.565674,-69.957901,679396.062500
0.936673,90.680611,-43.314144,525884.250000
1.186044,127.931564,18.405397,652420.312500
1.008840,127.136414,6.033685,536204.062500
1.165250,171.733398,-9.956023,641318.562500
1.034818,139.123810,1.194772,537392.062500
1.169972,197.123657,-13.436606,638079.062500
1.017055,149.352402,-5.510666,522785.000000
1.165109,213.767807,-10.393300,634591.062500
0.999445,161.917877,-14.791235,498193.718750
1.065629,220.984131,-12.999148,600481.250000
1.033451,178.291901,-17.587648,489867.625000
0.993097,225.070297,-17.674141,590483.937500
1.016165,199.852509,-17.862930,462448.250000
0.943259,235.159363,-12.028190,574587.687500
1.029822,219.349686,-16.494240,455401.031250
0.838343,235.975601,-9.027639,539505.125000
0.979984,243.801575,-8.499647,423173.906250
0.798860,250.882126,-11.135925,519235.718750
0.871982,262.796051,-16.447128,381051.593750
0.712857,261.436768,-11.143469,466140.812500
0.572053,269.033966,-9.214923,270384.187500
0.432453,277.049805,-6.927395,301089.375000
0.432453,277.049805,-6.927395,301089.375000
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.431248,276.631165,7.286377,301336.406250
0.431248,276.631165,7.286377,301336.406250
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.426639,269.507782,-5.878233,298825.468750
0.426639,269.507782,-5.878233,298825.468750
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.429352,272.132965,7.422683,301382.156250
0.429352,272.132965,7.422683,301382.156250
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.436695,274.622375,-5.084839,299762.000000
0.436695,274.622375,-5.084839,299762.000000
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.436709,275.041351,5.101811,300386.656250
0.436709,275.041351,5.101811,300386.656250
1.176600,163.415695,0.000000,264657.281250
1.176600,163.415695,0.000000,264657.281250
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
