,x,y
0,-0.05,-0.05
1,-0.025,-0.05
2,0.0,-0.05
3,0.025,-0.05
4,0.05,-0.05
5,0.075,-0.05
6,0.1,-0.05
7,0.125,-0.05
8,0.15,-0.05
9,0.17500000000000002,-0.05
10,0.2,-0.05
11,0.22499999999999998,-0.05
12,0.25,-0.05
13,0.275,-0.05
14,0.3,-0.05
15,0.325,-0.05
16,0.35000000000000003,-0.05
17,0.375,-0.05
18,0.4,-0.05
19,0.42500000000000004,-0.05
20,0.44999999999999996,-0.05
21,0.475,-0.05
22,0.5,-0.05
23,0.525,-0.05
24,0.55,-0.05
25,0.5750000000000001,-0.05
26,0.6,-0.05
27,0.625,-0.05
28,0.65,-0.05
29,0.675,-0.05
30,0.7000000000000001,-0.05
31,0.725,-0.05
32,0.75,-0.05
33,0.775,-0.05
34,0.8,-0.05
35,0.8250000000000001,-0.05
36,0.8500000000000001,-0.05
37,0.875,-0.05
38,0.8999999999999999,-0.05
39,0.925,-0.05
40,0.95,-0.05
41,0.9750000000000001,-0.05
42,1.0,-0.05
43,1.025,-0.05
44,1.05,-0.05
45,1.075,-0.05
46,1.1,-0.05
47,1.125,-0.05
48,1.1500000000000001,-0.05
49,1.1749999999999998,-0.05
50,1.2,-0.05
51,1.225,-0.05
52,1.25,-0.05
53,1.275,-0.05
54,1.3,-0.05
55,1.3250000000000002,-0.05
56,1.35,-0.05
57,1.375,-0.05
58,1.4000000000000001,-0.05
59,1.4249999999999998,-0.05
60,1.45,-0.05
61,1.4749999999999999,-0.05
62,1.5,-0.05
63,1.525,-0.05
64,1.55,-0.05
65,1.575,-0.05
66,1.6,-0.05
67,1.625,-0.05
68,1.6500000000000001,-0.05
69,1.675,-0.05
70,1.7000000000000002,-0.05
71,1.7249999999999999,-0.05
72,1.75,-0.05
73,1.775,-0.05
74,1.7999999999999998,-0.05
75,1.825,-0.05
76,1.85,-0.05
77,1.875,-0.05
78,1.9,-0.05
79,1.925,-0.05
80,1.9500000000000002,-0.05
81,1.975,-0.05
82,2.0,-0.05
83,2.049671829778768,-0.03135008386894042
84,2.0793077178583195,-0.020410093313817112
85,2.107491145402277,-0.010242635237575536
86,2.1345071934227726,-0.0007876990208141726
87,2.160600517553933,0.008008680007757583
88,2.185934582951233,0.016176883939973102
89,2.2106249791799963,0.023734821323559085
90,2.234759595996875,0.030694390370447605
91,2.258409415607961,0.03706460902869675
92,2.281634456014338,0.04285307665624105
93,2.3044872311071485,0.0480666289989919
94,2.327014883979883,0.052711599850995175
95,2.3492605765596,0.0567938912065975
96,2.3712644440343724,0.06031895326390242
97,2.3930642850712003,0.06329172613777209
98,2.4146960866473712,0.0657165698655163
99,2.436194442799204,0.06759719607333378
100,2.457592904188598,0.0689366077118329
101,2.4789242823526445,0.06973704965870764
102,2.5002209248075147,0.06999997120764537
103,2.521514972664746,0.0697260006913036
104,2.5428386099127054,0.06891493225859788
105,2.564224312402766,0.0675657248652893
106,2.5857051045932313,0.06567651365468963
107,2.6073148332449883,0.06324463394181457
108,2.62908846979798,0.06026665778233914
109,2.651062457705052,0.05673844232996168
110,2.6732751287374272,0.05265518739769358
111,2.6957672253731286,0.048011496014898986
112,2.718582588880585,0.04280142478963579
113,2.7417691123963492,0.03701849762782887
114,2.7653801307772543,0.030655630996594047
115,2.7894765571018305,0.023704869223704433
116,2.814130351609501,0.016156727433108004
117,2.8394304851855368,0.007998727087759117
118,2.865493776237362,-0.0007877419980995143
119,2.8924851705068186,-0.010233910503896666
120,2.920651317861586,-0.02039481867121679
121,2.9502802618926816,-0.031331927984190815
122,3.0,-0.0499996815692248
123,3.025,-0.05
124,3.05,-0.05
125,3.075,-0.05
126,3.1,-0.05
127,3.125,-0.05
128,3.15,-0.05
129,3.175,-0.05
130,3.2,-0.05
131,3.225,-0.05
132,3.25,-0.05
133,3.2750000000000004,-0.05
134,3.3000000000000003,-0.05
135,3.325,-0.05
136,3.35,-0.05
137,3.375,-0.05
138,3.4000000000000004,-0.05
139,3.4250000000000003,-0.05
140,3.4499999999999997,-0.05
141,3.4749999999999996,-0.05
142,3.5,-0.05
143,3.525,-0.05
144,3.55,-0.05
145,3.5749999999999997,-0.05
146,3.5999999999999996,-0.05
147,3.625,-0.05
148,3.65,-0.05
149,3.675,-0.05
150,3.7,-0.05
151,3.725,-0.05
152,3.75,-0.05
153,3.775,-0.05
154,3.8,-0.05
155,3.825,-0.05
156,3.85,-0.05
157,3.875,-0.05
158,3.9000000000000004,-0.05
159,3.9250000000000003,-0.05
160,3.95,-0.05
161,3.975,-0.05
162,4.0,-0.05
163,4.025,-0.05
164,4.050000000000001,-0.05
165,4.074999999999999,-0.05
166,4.1,-0.05
167,4.125,-0.05
168,4.1499999999999995,-0.05
169,4.175,-0.05
170,4.2,-0.05
171,4.225,-0.05
172,4.25,-0.05
173,4.275,-0.05
174,4.3,-0.05
175,4.325,-0.05
176,4.35,-0.05
177,4.375,-0.05
178,4.4,-0.05
179,4.425,-0.05
180,4.45,-0.05
181,4.475,-0.05
182,4.5,-0.05
183,4.525,-0.05
184,4.55,-0.05
185,4.575,-0.05
186,4.6000000000000005,-0.05
187,4.625,-0.05
188,4.65,-0.05
189,4.675000000000001,-0.05
190,4.699999999999999,-0.05
